Running ./cmake-build-release/bin/multiple_intersections
Run on (8 X 4827.41 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x8)
  L1 Instruction 32 KiB (x8)
  L2 Unified 256 KiB (x8)
  L3 Unified 16384 KiB (x1)
Load Average: 0.65, 0.65, 0.50
--------------------------------------------------------------------------------------
Benchmark                                            Time             CPU   Iterations
BM_using_galloping_search/5/512                   1480 ns         1480 ns       473397
BM_using_galloping_search/6/512                   1629 ns         1629 ns       408042
BM_using_galloping_search/7/512                   1627 ns         1627 ns       416227
BM_using_galloping_search/2/4096                 18609 ns        18609 ns        37825
BM_using_galloping_search/3/4096                 26587 ns        26586 ns        25871
BM_using_galloping_search/4/4096                 31992 ns        31992 ns        21287
BM_using_galloping_search/5/4096                 37113 ns        37113 ns        19390
BM_using_galloping_search/6/4096                 40771 ns        40771 ns        17382
BM_using_galloping_search/7/4096                 44792 ns        44792 ns        15773
BM_using_galloping_search/2/32768               206186 ns       206183 ns         3398
BM_using_galloping_search/3/32768               271455 ns       271443 ns         2591
BM_using_galloping_search/4/32768               306873 ns       306869 ns         2261
BM_using_galloping_search/5/32768               337261 ns       337257 ns         2085
BM_using_galloping_search/6/32768               364980 ns       364977 ns         1923
BM_using_galloping_search/7/32768               390601 ns       390596 ns         1812
BM_using_galloping_search/2/262144             1709213 ns      1709196 ns          409
BM_using_galloping_search/3/262144             2210052 ns      2210021 ns          316
BM_using_galloping_search/4/262144             2524256 ns      2524126 ns          277
BM_using_galloping_search/5/262144             2745118 ns      2745069 ns          254
BM_using_galloping_search/6/262144             2976489 ns      2976372 ns          234
BM_using_galloping_search/7/262144             3202353 ns      3202234 ns          220
BM_using_binary_search/2/8                        27.4 ns         27.4 ns     20567068
BM_using_binary_search/3/8                        45.3 ns         45.3 ns     15722765
BM_using_binary_search/4/8                        50.0 ns         50.0 ns     13115755
BM_using_binary_search/5/8                        53.6 ns         53.6 ns     13487870
BM_using_binary_search/6/8                        72.9 ns         72.9 ns      9520572
BM_using_binary_search/7/8                        67.5 ns         67.5 ns      9204917
BM_using_binary_search/2/64                        159 ns          159 ns      4804126
BM_using_binary_search/3/64                        210 ns          210 ns      3610828
BM_using_binary_search/4/64                        217 ns          217 ns      3454640
BM_using_binary_search/5/64                        253 ns          253 ns      2969556
BM_using_binary_search/6/64                        219 ns          219 ns      2900522
BM_using_binary_search/7/64                        283 ns          283 ns      2751297
BM_using_binary_search/2/512                      1429 ns         1429 ns       526254
BM_using_binary_search/3/512                      1681 ns         1681 ns       423849
BM_using_binary_search/4/512                      1767 ns         1767 ns       383363
BM_using_binary_search/5/512                      1894 ns         1894 ns       359632
BM_using_binary_search/6/512                      1946 ns         1946 ns       348398
BM_using_binary_search/7/512                      1948 ns         1948 ns       330575
BM_using_binary_search/2/4096                    33414 ns        33414 ns        21092
BM_using_binary_search/3/4096                    43411 ns        43410 ns        15752
BM_using_binary_search/4/4096                    49650 ns        49650 ns        13683
BM_using_binary_search/5/4096                    53565 ns        53563 ns        12799
BM_using_binary_search/6/4096                    56519 ns        56519 ns        12270
